Document 1,Document 2,LSH Candidate,Jaccard Exact,MinHash Estimate
data/mails\1.csv,data/mails\2.csv,0,0.5708,0.5700
data/mails\1.csv,data/mails\3.csv,0,0.5471,0.5700
data/mails\1.csv,data/mails\4.csv,0,0.7074,0.7000
data/mails\1.csv,data/mails\5.csv,0,0.5933,0.6400
data/mails\2.csv,data/mails\3.csv,0,0.4206,0.4300
data/mails\2.csv,data/mails\4.csv,0,0.4978,0.5300
data/mails\2.csv,data/mails\5.csv,0,0.5310,0.6200
data/mails\3.csv,data/mails\4.csv,0,0.4273,0.4700
data/mails\3.csv,data/mails\5.csv,0,0.5000,0.5400
data/mails\4.csv,data/mails\5.csv,0,0.5146,0.5500
